"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C02_001E","S1903_C02_001M","S1903_C01_002E","S1903_C01_002M","S1903_C02_002E","S1903_C02_002M","S1903_C01_003E","S1903_C01_003M","S1903_C02_003E","S1903_C02_003M","S1903_C01_004E","S1903_C01_004M","S1903_C02_004E","S1903_C02_004M","S1903_C01_005E","S1903_C01_005M","S1903_C02_005E","S1903_C02_005M","S1903_C01_006E","S1903_C01_006M","S1903_C02_006E","S1903_C02_006M","S1903_C01_007E","S1903_C01_007M","S1903_C02_007E","S1903_C02_007M","S1903_C01_008E","S1903_C01_008M","S1903_C02_008E","S1903_C02_008M","S1903_C01_009E","S1903_C01_009M","S1903_C02_009E","S1903_C02_009M","S1903_C01_010E","S1903_C01_010M","S1903_C02_010E","S1903_C02_010M","S1903_C01_012E","S1903_C01_012M","S1903_C02_012E","S1903_C02_012M","S1903_C01_013E","S1903_C01_013M","S1903_C02_013E","S1903_C02_013M","S1903_C01_014E","S1903_C01_014M","S1903_C02_014E","S1903_C02_014M","S1903_C01_015E","S1903_C01_015M","S1903_C02_015E","S1903_C02_015M","S1903_C01_016E","S1903_C01_016M","S1903_C02_016E","S1903_C02_016M","S1903_C01_017E","S1903_C01_017M","S1903_C02_017E","S1903_C02_017M","S1903_C01_018E","S1903_C01_018M","S1903_C02_018E","S1903_C02_018M","S1903_C01_019E","S1903_C01_019M","S1903_C02_019E","S1903_C02_019M","S1903_C01_020E","S1903_C01_020M","S1903_C02_020E","S1903_C02_020M","S1903_C01_021E","S1903_C01_021M","S1903_C02_021E","S1903_C02_021M","S1903_C01_022E","S1903_C01_022M","S1903_C02_022E","S1903_C02_022M","S1903_C01_023E","S1903_C01_023M","S1903_C02_023E","S1903_C02_023M","S1903_C01_024E","S1903_C01_024M","S1903_C02_024E","S1903_C02_024M","S1903_C01_025E","S1903_C01_025M","S1903_C02_025E","S1903_C02_025M","S1903_C01_026E","S1903_C01_026M","S1903_C02_026E","S1903_C02_026M","S1903_C01_027E","S1903_C01_027M","S1903_C02_027E","S1903_C02_027M","S1903_C01_028E","S1903_C01_028M","S1903_C02_028E","S1903_C02_028M","S1903_C01_029E","S1903_C01_029M","S1903_C02_029E","S1903_C02_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_030E","S1903_C02_030M","S1903_C01_031E","S1903_C01_031M","S1903_C02_031E","S1903_C02_031M",
"Geography","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Total!!Estimate!!One race!!White","Total!!Margin of Error!!One race!!White","Median income (dollars)!!Estimate!!One race!!White","Median income (dollars)!!Margin of Error!!One race!!White","Total!!Estimate!!One race!!Black or African American","Total!!Margin of Error!!One race!!Black or African American","Median income (dollars)!!Estimate!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!One race!!Black or African American","Total!!Estimate!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!One race!!American Indian and Alaska Native","Total!!Estimate!!One race!!Asian","Total!!Margin of Error!!One race!!Asian","Median income (dollars)!!Estimate!!One race!!Asian","Median income (dollars)!!Margin of Error!!One race!!Asian","Total!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!One race!!Some other race","Total!!Margin of Error!!One race!!Some other race","Median income (dollars)!!Estimate!!One race!!Some other race","Median income (dollars)!!Margin of Error!!One race!!Some other race","Total!!Estimate!!Two or more races","Total!!Margin of Error!!Two or more races","Median income (dollars)!!Estimate!!Two or more races","Median income (dollars)!!Margin of Error!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Total!!Estimate!!FAMILIES!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Married-couple families","Total!!Estimate!!FAMILIES!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Estimate!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months",
"1400000US06085500100","Census Tract 5001, Santa Clara County, California","1970","103","60259","10751","38.5","6.3","72500","28142","8.9","4.9","44279","19713","3.5","2.3","63750","46002","27.0","5.8","65819","8884","0.0","2.0","-","-222222222","20.2","6.3","49138","22721","2.0","2.0","47125","469090","42.8","5.9","55192","14016","20.9","3.8","107917","24971","4.6","2.8","82708","81207","50.0","5.7","60536","13056","31.3","5.3","70769","37915","14.2","3.2","28199","7579","1178","164","65500","9036","42.8","9.1","65303","28292","57.2","9.1","65614","17227","62.1","9.5","73879","13922","23.1","7.9","54091","18935","14.8","6.8","36771","2390","792","155","46731","7356","47.0","11.3","46310","8248","36.5","9.7","43464","22379","10.5","6.5","67981","24483","53.0","11.3","47222","17294","39.0","11.7","42703","18071","14.0","8.3","162731","45252","33.8","-888888888.0","(X)","-888888888","33.8","-888888888.0","(X)","(X)","27.7","-888888888.0","(X)","(X)",
"1400000US06085500200","Census Tract 5002, Santa Clara County, California","2023","101","71010","12810","66.1","7.2","67156","7376","2.2","2.1","64659","315625","5.4","4.1","82464","89219","14.2","5.0","74516","39656","0.0","2.0","-","-222222222","9.0","5.3","103043","90783","3.1","2.2","96250","71996","22.0","6.9","41544","34892","54.6","8.2","70817","20320","8.0","4.9","47778","21328","52.8","6.8","96458","18361","33.5","5.4","66417","7001","5.7","2.7","21332","5261","758","141","71818","46813","41.2","10.7","68958","46767","58.8","10.7","105333","90251","62.1","14.4","114107","52103","17.8","10.1","63622","45855","20.1","11.2","60833","57063","1265","183","66155","9419","40.6","10.7","58088","18264","25.0","9.2","57115","24061","15.7","7.7","58542","63171","59.4","10.7","80083","29625","34.8","10.3","53750","31401","24.6","9.6","129301","46479","19.6","-888888888.0","(X)","-888888888","21.0","-888888888.0","(X)","(X)","17.4","-888888888.0","(X)","(X)",
"1400000US06085500300","Census Tract 5003, Santa Clara County, California","1204","75","96250","20705","63.9","8.0","115313","20506","0.7","1.1","-","-222222222","1.4","1.6","150375","142210","17.5","7.1","87321","75828","0.0","3.3","-","-222222222","15.7","6.8","78352","24277","0.7","1.2","-","-222222222","29.2","8.6","95428","35237","52.0","8.5","118393","36107","7.1","5.1","68472","102772","50.3","8.0","118641","21929","34.1","6.5","97031","43757","8.5","3.2","36750","32770","626","102","108333","22712","36.4","11.0","101563","26185","63.6","11.0","117734","39665","67.3","11.1","140703","30784","8.8","5.3","56528","63211","24.0","11.1","72857","32430","578","105","76875","10121","37.9","14.1","78589","14959","27.2","14.2","68819","16650","10.7","9.3","120946","6444","62.1","14.1","75188","15218","42.0","13.2","68063","32614","20.1","8.8","126917","24518","24.4","-888888888.0","(X)","-888888888","11.3","-888888888.0","(X)","(X)","36.5","-888888888.0","(X)","(X)",
"1400000US06085500400","Census Tract 5004, Santa Clara County, California","986","76","60000","10255","67.2","9.3","64041","16288","6.2","4.9","43490","38949","0.0","4.0","-","-222222222","7.2","4.8","78523","50466","0.0","4.0","-","-222222222","18.5","8.5","26722","12544","0.9","1.6","-","-222222222","32.4","6.9","35104","28056","53.3","6.7","64535","25070","0.0","4.0","-","-222222222","49.1","9.0","52167","19589","28.6","7.9","85000","34243","22.3","6.3","42241","26896","577","107","76298","30403","51.6","10.7","64242","31500","48.4","10.7","89479","34900","73.0","13.3","110625","39404","13.3","8.1","42841","75146","13.7","12.0","27243","116502","409","103","44574","7931","42.8","15.1","50292","10462","30.1","13.4","44625","10418","12.7","12.9","51250","29304","57.2","15.1","43456","10714","39.4","15.2","44007","19584","17.8","13.9","41607","188580","25.6","-888888888.0","(X)","-888888888","29.8","-888888888.0","(X)","(X)","19.6","-888888888.0","(X)","(X)",
"1400000US06085500500","Census Tract 5005, Santa Clara County, California","1864","93","121667","27083","80.7","5.9","137635","24983","0.0","2.1","-","-222222222","0.0","2.1","-","-222222222","10.7","4.6","130766","133281","0.0","2.1","-","-222222222","4.9","3.9","49327","48807","3.8","3.0","113571","142425","18.1","5.5","61506","12180","69.2","6.5","143281","17896","2.4","2.3","52171","160470","34.2","5.3","139485","63949","42.9","4.7","144891","23948","20.5","3.3","59286","14286","1266","117","143000","23161","41.5","7.6","185547","55366","58.5","7.6","121806","32623","73.5","7.8","170344","16692","19.4","7.6","49712","64209","7.1","4.5","63750","63313","598","127","57750","12105","40.8","12.2","51641","11222","34.8","12.4","50417","13833","6.0","5.3","140769","124453","59.2","12.2","60446","29137","32.9","13.1","57361","36899","26.3","12.6","138188","158732","24.1","-888888888.0","(X)","-888888888","23.5","-888888888.0","(X)","(X)","25.4","-888888888.0","(X)","(X)",
"1400000US06085500600","Census Tract 5006, Santa Clara County, California","2082","98","75352","9048","68.7","7.0","95870","30649","4.8","3.5","11696","4754","1.6","1.8","15375","27617","8.9","4.1","47011","49698","0.0","1.9","-","-222222222","13.1","5.3","60582","42436","2.9","1.9","60078","8657","28.2","6.9","63125","14477","54.9","6.8","103333","16703","4.8","2.1","32273","50949","50.0","6.1","77423","15111","36.2","6.3","79444","57608","9.0","2.9","19607","68488","1033","165","95841","31887","47.1","9.4","63901","10948","52.9","9.4","116000","26822","63.2","9.8","123281","33004","27.5","8.7","52000","15299","9.3","7.8","64375","23839","1049","175","62034","22692","37.8","10.0","34615","24452","25.2","8.9","17197","17318","12.6","6.3","56750","46862","62.2","10.0","78556","24018","43.2","11.1","61691","19186","19.1","8.8","105855","21265","24.6","-888888888.0","(X)","-888888888","25.4","-888888888.0","(X)","(X)","23.8","-888888888.0","(X)","(X)",
"1400000US06085500800","Census Tract 5008, Santa Clara County, California","1032","130","50980","8527","50.2","10.5","55192","8584","9.7","8.6","24808","2349","0.6","1.4","-","-222222222","21.6","6.0","37875","101476","0.6","1.6","-","-222222222","16.3","7.7","58611","25883","1.1","1.7","-","-222222222","26.3","7.0","41393","19360","38.5","8.9","70625","25262","0.8","1.2","-","-222222222","53.2","8.9","70625","22172","26.3","7.9","49028","28126","19.8","3.7","18073","4718","406","88","41714","31697","32.8","16.7","64938","145332","67.2","16.7","34260","13590","87.7","12.4","40357","15380","4.4","7.4","65625","53246","7.9","10.4","233462","930","626","144","52625","8134","45.4","14.7","24471","43649","44.1","15.0","24279","38934","1.3","2.3","102000","240749","54.6","14.7","71250","27955","43.6","14.3","77589","49838","11.0","8.0","71181","37940","13.3","-888888888.0","(X)","-888888888","11.6","-888888888.0","(X)","(X)","14.4","-888888888.0","(X)","(X)",
"1400000US06085500901","Census Tract 5009.01, Santa Clara County, California","1677","137","46612","7396","47.8","8.6","73278","17564","8.0","4.4","47917","42488","1.3","2.0","-","-222222222","22.8","5.4","13807","23752","1.3","1.9","-","-222222222","15.3","6.4","34438","23667","3.5","2.7","27500","52087","25.9","6.9","38833","15512","40.5","7.5","81146","17406","23.8","6.2","22276","6366","46.1","7.5","70184","19273","17.2","5.2","48333","27163","12.9","2.2","11881","682","359","85","56641","93152","25.3","13.6","56797","89175","74.7","13.6","47333","132774","66.0","16.6","126161","20927","19.2","12.6","13625","9128","14.8","14.8","43051","22876","1318","138","43056","16281","39.5","7.9","20260","3607","24.1","5.8","14881","7307","15.3","6.3","25625","24112","60.5","7.9","56250","23742","32.9","9.8","63625","31056","27.7","9.7","55781","23902","28.1","-888888888.0","(X)","-888888888","36.2","-888888888.0","(X)","(X)","25.9","-888888888.0","(X)","(X)",
"1400000US06085500902","Census Tract 5009.02, Santa Clara County, California","523","81","36055","14189","19.7","10.2","41080","54922","0.0","7.4","-","-222222222","2.3","3.5","-","-222222222","45.5","12.8","35391","36983","0.0","7.4","-","-222222222","23.9","11.1","29185","31137","8.6","9.3","65054","120843","40.7","12.0","46146","44719","13.8","9.6","23636","33623","26.4","14.4","28370","22111","45.3","16.5","50114","38771","19.5","7.7","60750","70312","8.8","5.7","43125","60457","296","79","43750","26190","37.2","16.8","38889","42281","62.8","16.8","44375","49531","53.4","18.4","60750","32491","19.6","14.6","13958","102167","27.0","18.7","16196","30183","227","82","28967","13460","50.7","24.6","28424","10021","11.5","12.4","12045","23404","39.2","25.3","29837","12525","49.3","24.6","40568","56811","42.3","23.7","12266","63260","7.0","10.1","-","-222222222","39.0","-888888888.0","(X)","-888888888","36.5","-888888888.0","(X)","(X)","42.3","-888888888.0","(X)","(X)",
"1400000US06085501000","Census Tract 5010, Santa Clara County, California","1976","118","43136","8037","42.2","8.4","60038","12968","8.9","5.6","41085","11096","4.3","4.5","50729","45911","20.1","4.8","19432","14874","0.0","2.0","-","-222222222","24.0","7.9","43278","24626","0.5","0.8","-","-222222222","41.3","7.1","44410","13307","28.8","6.5","60492","10690","9.6","4.6","15708","3958","38.4","6.0","63984","29350","30.6","6.4","50492","10770","21.4","4.2","12411","6427","858","161","50309","24249","40.2","10.6","42344","34656","59.8","10.6","50521","26224","57.7","12.2","59866","38864","31.0","12.3","47500","22805","11.3","8.6","29006","42811","1118","178","41462","12297","39.0","9.7","12192","7355","34.0","9.6","11884","3309","5.0","3.7","98125","113394","61.0","9.7","50833","11691","33.8","11.9","42708","21873","27.2","10.9","55962","79973","31.3","-888888888.0","(X)","-888888888","39.3","-888888888.0","(X)","(X)","21.2","-888888888.0","(X)","(X)",
"1400000US06085501101","Census Tract 5011.01, Santa Clara County, California","1694","75","64600","24102","47.6","8.1","92284","14287","1.3","2.2","-","-222222222","0.9","1.6","-","-222222222","32.8","6.0","48209","35814","0.0","2.3","-","-222222222","12.3","5.5","31607","5903","5.0","3.9","155795","85686","24.4","6.1","35571","9211","38.5","7.6","97057","21810","6.3","4.5","90909","189790","53.2","6.5","95417","22133","23.1","5.0","53482","58278","17.4","3.5","17929","1568","804","133","77727","47985","42.5","11.2","93750","100384","57.5","11.2","59474","48592","78.6","10.1","59079","48725","18.0","10.0","157893","137675","3.4","5.5","16875","6633","890","133","64400","29851","43.1","11.0","39167","16494","38.0","10.9","38750","33998","5.2","5.5","42813","58356","56.9","11.0","90813","36696","35.7","10.6","71731","37496","21.1","8.6","162817","55906","20.5","-888888888.0","(X)","-888888888","22.0","-888888888.0","(X)","(X)","17.1","-888888888.0","(X)","(X)",
"1400000US06085501102","Census Tract 5011.02, Santa Clara County, California","1315","107","64792","20999","60.8","11.8","74468","22738","3.3","5.0","-","-222222222","0.0","3.0","-","-222222222","9.6","5.3","97317","97372","0.0","3.0","-","-222222222","26.4","9.7","48893","38374","0.0","3.0","-","-222222222","52.7","9.2","48963","17156","34.4","7.8","90750","13380","2.4","3.7","-","-222222222","40.1","7.6","83708","29923","41.4","8.0","73750","52742","16.1","3.8","28654","12408","964","139","70625","23281","52.4","10.7","70104","30131","47.6","10.7","75694","39666","65.5","11.3","92891","46975","20.5","9.8","18478","13753","14.0","9.4","42475","17070","351","108","44514","61955","54.1","16.8","73864","75270","40.2","15.4","28558","92177","14.0","11.2","152768","132471","45.9","16.8","44041","51317","23.4","19.7","62500","113598","22.5","19.9","44041","26168","37.6","-888888888.0","(X)","-888888888","43.0","-888888888.0","(X)","(X)","19.9","-888888888.0","(X)","(X)",
"1400000US06085501200","Census Tract 5012, Santa Clara County, California","1398","79","45089","11040","54.7","7.7","59844","11777","3.2","2.7","38631","26796","3.3","3.1","29054","855","9.7","4.2","24402","21869","0.0","2.8","-","-222222222","22.4","6.4","48036","20511","6.7","5.9","35893","17627","45.9","8.7","48665","17374","32.0","6.8","58542","27130","10.1","6.4","32202","70919","31.7","7.8","44625","14948","45.6","7.0","49125","17414","12.7","4.1","33950","7952","745","138","46016","15183","38.9","11.7","39286","17394","61.1","11.7","47386","32800","64.3","11.1","61250","21667","25.5","10.8","29643","12554","10.2","6.6","42308","43804","653","131","44542","22901","34.8","11.7","16979","23805","24.8","11.7","11714","8357","10.0","7.6","63964","39046","65.2","11.7","55643","22343","37.5","13.4","31354","42116","27.7","14.4","66656","17447","34.1","-888888888.0","(X)","-888888888","38.8","-888888888.0","(X)","(X)","28.8","-888888888.0","(X)","(X)",
"1400000US06085501300","Census Tract 5013, Santa Clara County, California","1125","108","75972","10897","65.1","8.5","120972","35476","0.8","1.2","-","-222222222","0.8","1.3","-","-222222222","11.4","3.4","21800","11160","2.8","4.6","-","-222222222","9.3","5.2","26563","57454","9.9","6.2","35101","13132","18.4","6.8","28438","5856","60.6","8.2","133409","34906","12.5","7.2","24414","12029","40.6","7.5","76908","18067","36.8","5.9","143289","38330","10.0","2.4","29821","35129","572","95","100417","57062","44.4","11.9","140556","70776","55.6","11.9","82045","20084","72.6","10.6","153125","45521","15.2","9.0","30156","46812","12.2","8.3","85208","38700","553","113","43875","25200","46.7","13.6","71250","48733","22.2","7.8","29659","41618","24.4","13.2","74088","106153","53.3","13.6","36318","16864","38.2","12.5","35912","8786","15.2","8.3","56364","71259","30.2","-888888888.0","(X)","-888888888","24.0","-888888888.0","(X)","(X)","34.7","-888888888.0","(X)","(X)",
"1400000US06085501401","Census Tract 5014.01, Santa Clara County, California","979","67","37675","5433","42.1","9.6","39412","8649","0.8","1.4","-","-222222222","1.0","1.6","-","-222222222","15.4","5.2","40813","28458","0.0","4.0","-","-222222222","40.7","9.1","31176","14487","0.0","4.0","-","-222222222","64.2","8.5","36196","8501","19.3","8.0","56830","18944","3.3","4.0","24239","28345","56.2","9.9","43158","5166","23.9","8.9","31667","13104","16.6","6.1","12264","9218","704","92","36000","10126","75.7","10.5","35740","13426","24.3","10.5","38021","63275","56.4","12.2","39453","11418","15.6","9.3","12935","9993","28.0","12.0","36287","10487","275","71","37610","14026","48.0","19.2","39167","62903","40.4","20.0","12313","58555","7.6","12.0","-","-222222222","52.0","19.2","36375","16361","48.7","17.4","35250","18408","3.3","5.1","-","-222222222","30.9","-888888888.0","(X)","-888888888","35.8","-888888888.0","(X)","(X)","10.2","-888888888.0","(X)","(X)",
"1400000US06085501402","Census Tract 5014.02, Santa Clara County, California","832","48","71923","23407","55.8","11.5","41136","26202","0.0","4.7","-","-222222222","0.5","1.4","-","-222222222","10.3","5.3","81471","56982","0.0","4.7","-","-222222222","32.1","12.2","93346","5791","1.3","2.1","-","-222222222","49.5","11.2","77206","58069","40.1","10.7","63611","32470","4.6","4.0","75741","19555","60.1","10.6","76765","18615","24.6","6.6","56563","53743","10.7","8.3","36098","39422","586","91","76912","22153","60.9","13.8","55707","26424","39.1","13.8","107894","33603","56.3","13.1","81875","20290","18.3","10.4","55341","99514","25.4","12.2","75221","37150","246","101","36757","22882","35.0","26.2","10833","162652","29.7","25.1","9781","107406","5.3","10.6","-","-222222222","65.0","26.2","36959","14192","52.8","27.9","36453","1644","12.2","18.1","-","-222222222","41.0","-888888888.0","(X)","-888888888","35.8","-888888888.0","(X)","(X)","52.0","-888888888.0","(X)","(X)",
"1400000US06085501501","Census Tract 5015.01, Santa Clara County, California","1161","52","38094","9067","38.3","10.0","32019","6117","4.1","4.0","25526","23501","0.0","3.4","-","-222222222","25.0","7.0","66250","18976","0.0","3.4","-","-222222222","32.6","9.1","52115","30401","0.0","3.4","-","-222222222","59.6","7.1","36586","5127","11.3","6.7","24526","11491","3.5","3.3","17159","17971","51.2","10.4","57563","42372","34.9","9.1","40375","13022","10.3","4.9","21500","15051","853","104","35906","21645","68.7","9.8","26964","23287","31.3","9.8","42031","40370","54.4","10.5","51452","17706","28.6","9.8","15375","7049","17.0","8.4","41406","57001","308","101","35313","5642","32.8","17.9","32930","12288","17.9","14.1","25197","18743","14.9","16.5","34297","47984","67.2","17.9","37383","5600","63.6","18.0","37885","5629","3.6","5.8","2,500-","-333333333","42.5","-888888888.0","(X)","-888888888","44.1","-888888888.0","(X)","(X)","26.9","-888888888.0","(X)","(X)",
"1400000US06085501502","Census Tract 5015.02, Santa Clara County, California","996","98","40606","11241","47.1","12.5","46250","41733","4.8","5.1","138548","70538","0.0","3.9","-","-222222222","11.9","6.5","44219","24159","0.0","3.9","-","-222222222","33.8","12.1","28512","7226","2.3","2.2","19792","90641","61.7","9.5","29886","8218","20.9","7.1","80952","13980","3.2","3.8","41905","5539","49.5","8.9","40306","20097","39.4","9.0","38571","32999","7.9","3.5","29688","58205","713","116","42760","15462","51.5","13.8","32005","19520","48.5","13.8","72614","38417","69.8","12.9","57283","27001","25.0","12.0","25238","16404","5.2","6.3","21595","18190","283","96","30542","10751","35.7","20.6","66635","67430","21.9","14.1","30000","47050","13.8","15.6","91625","323162","64.3","20.6","26087","9294","43.8","19.7","26196","16370","20.5","18.4","19583","24856","43.5","-888888888.0","(X)","-888888888","45.7","-888888888.0","(X)","(X)","33.6","-888888888.0","(X)","(X)",
